Question,Answer
What is being predicted to be unsatisfactory?,The situation for the next twelve months.
How long is this unsatisfactoriness expected to last?,Twelve months.
What did the French Air Force intelligence section think about the German Luftwaffe's strength in 1938?,The French Air Force intelligence section thought that the German Luftwaffe was the best in the world.
"How many warplanes per month was Germany producing, according to the French Air Force intelligence section?",Germany was producing 1000 warplanes a month.
Who replaced George Lansbury as leader of the Labour Party in 1935?,Clement Attlee
In what year did Ernest Bevin and Hugh Dalton persuade the party to support rearmament and oppose appeasement?,1937
Who claimed that the National Government had connived at German rearmament?,Attlee
Which party MP said that many prominent Conservative Party representatives would welcome Hitler if he believed it was the only alternative to socialism in the country?,Willie Gallacher
What was the outcome of a debate at the Oxford Union Society in 1933?,A motion passed saying that the undergraduates would not fight for King and country.
"How many people responded to the League of Nations ""Peace Ballot"" in 1935, pledging support for the reduction of armaments by international agreement?",Eleven million.
"What percentage of British voters favored ""collective military sanctions"" against aggressors?",58.7%
By what year did the majority of young pacifists modify their views to accept that war could be a legitimate response to aggression and fascism?,1937
When did Czechoslovakia begin to object to being bullied?,Mid-September 1938
What was the name of the speech delivered by Chamberlain on his return to Britain on September 30?,"""peace for our time"""
Who advocated war in Parliament?,The Conservative Duff Cooper.
Which party opposed the agreement in Parliament?,The Labour Party.
Who was the editor accused of suppressing reports about Nazi militarism?,Geoffrey Dawson
"What percentage of the public believed Hitler was lying about his future territorial ambitions, according to an October 1938 Gallup poll?",86%
What was Hitler's response when questioned about his abuse of Jews and other minority groups?,"He denounced the reports as ""Jewish-Communist propaganda""."
Who were the victims of Hitler's abuse that he dismissed at press conferences?,Jews and other minority groups.
Who told BBC radio producers not to offend Hitler and Mussolini?,Lord Halifax
Who had successfully demonstrated how a government in a democracy could influence and control the press?,Chamberlain
What did Chamberlain's control of the press actually accomplish?,Ensuring that the press was unable to reflect public opinion
What was published and distributed to every MP on the day Chamberlain returned from Munich?,"Shiela Grant Duff's Penguin Special, Europe and the Czechs."
Who wrote a spirited defence of the Czech nation and a detailed criticism of British policy in the book?,Shiela Grant Duff.
"Who identified the policy of appeasement with wealthy people in the City of London, Conservatives and members of the peerage who were soft on Hitler?",Hugh Dalton
"What did three British journalists, writing under the name ""Cato"", call for regarding 15 public figures they held accountable?",The removal from office
"When was the book ""Guilty Men"" written?",Not specified (no date is given in the text)
"What happened to the Conservative party as a result of ""Guilty Men""?",It contributed to its defeat in the 1945 general election
"What is the normal meaning of ""appeasement""?",The pacific settlement of disputes.
What did Neville Chamberlain believe would happen if he settled Hitler's grievances?,He believed it would protect the world from war.
Who wrote a dissertation arguing that appeasement was necessary?,John F. Kennedy
In what year did John F. Kennedy write his thesis Why England Slept?,1940
"Who wrote the book ""The Origins of the Second World War""?",A.J.P. Taylor
"According to Taylor, what was appeasement in relation to Hitler's behavior?",An active policy
Who said that each course brought its share of disadvantages?,Paul Kennedy
"What was described as ""Victorian in its optimism"" by Martin Gilbert?",The old appeasement
What was the new appeasement characterized by?,A mood of fear.
"According to the text, what did proponents of the new appeasement believe about Nazism?",That it was there to stay.
What was the general tone of reviews of Taylor's book in Britain and the United States?,Critical
What did Taylor's work show about British foreign policy after 1933?,A continuity
Who did the author's portrayal aim to explain?,The appeasers
What time period was being portrayed as real people attempting to deal with real problems?,The 1930s
What type of theory emerged in the early 1990s among historians?,Counter-revisionist
Who is a leading proponent of the view that appeasement was a viable policy in the 1930s?,Frank McDonough
What was appeasement seeking?,A peaceful settlement of Hitler's grievances.
What did the critics of Appeasement not know about it?,What Hitler would do later.
What was the policy that the historical text is discussing?,Appeasement
"What did the political leaders attempt with Appeasement, according to the text?","Logical, rational, and humane."
Was Neville Chamberlain's policy of appeasement motivated by a desire to encourage war with Stalin?,No
"What was the root of the policy of appeasement, according to historian Antony Beevor?",A fear of bolshevism
What were the roots of fascism?,A fear of bolshevism.
Why did conservative politicians have mixed feelings towards German and Italian regimes?,Because they had crushed the communists and socialists in their own countries.
In what year did U.S. President Harry S. Truman enter the Korean War?,1950
Who was assassinated by a drone strike led by U.S. President Donald Trump in 2020?,Qasem Soleimani
Who wrote a letter to British Prime Minister Churchill after the Viet Minh won the Battle of Dien Bien Phu?,U.S. President Dwight D. Eisenhower
What did President Lyndon Johnson say would happen if he got out of Vietnam and let Ho Chi Minh run through the streets of Saigon?,He'd be giving a big fat reward to aggression
Who was the U.S. Ambassador to the United Kingdom who supported appeasement?,Joseph P. Kennedy Sr.
Which war crisis did Joseph P. Kennedy Sr. support a negotiated surrender to Germany in?,The Battle of Britain
"What was the year that Michael Johns wrote about the ""culture of appeasement""?",1987
Who did some conservatives compare to Neville Chamberlain after Reagan's withdrawal of the Multinational Force in Lebanon?,Ronald Reagan
What year did Margaret Thatcher invoke the example of Churchill during the Falklands War?,1982
Who made similar arguments to Alexander Haig after the 1990 Iraqi invasion of Kuwait and the planning for the Gulf War?,Margaret Thatcher
Who cited Churchill's warnings about German rearmament?,U.S. President George W. Bush and British Prime Minister Tony Blair
What did Obama administration officials claim would be an act of appeasement towards Bashar al-Assad?,Failure to intervene in the Syrian Civil War after the Ghouta chemical attack
"Who cautioned against ""the false comfort of appeasement"" when dealing with Iran in May 2008?",George W. Bush
Which administration's foreign policy was criticized as an act of appeasement with Iran by its opponents?,Obama administration
What happened in Crimea in 2014?,It was annexed.
When did Russian president Vladimir Putin conduct a full-scale invasion of the rest of Ukraine?,In 2022.
When did Donald Trump decide to wrap up all military operations in Afghanistan?,After he became president.
On what date was the Doha Agreement signed?,29 February 2020
When did President Joe Biden decide to withdraw all American troops from Afghanistan?,31 August 2021
On which date was the United States completed its withdrawal from Afghanistan and the evacuation of American citizens and residents and at-risk Afghans from Kabul International Airport?,30 August 2021
When was appeasement seen as discredited in the United Kingdom?,In the mid-20th century.
What is an alternative strategy to avoid conflict mentioned in the text?,Deterrence.
What is an example of appeasement that can be seen from a historical perspective?,The distribution of economic resources to veterans and political groups in Timor-Leste to resolve the 2006 crisis.
What is incentivised by the defensive player's willingness to appease in a game-theoretical point of view?,The offensive player to create conditions to be appeased.
When were the Minsk agreements suggested to be appeasement?,In 2015 and 2024.
What is mentioned as potentially facing a dilemma with regards to appeasement?,Increasing grievances with new groups.
What is Blitzkrieg used to describe?,A combined arms surprise attack
What is the intent behind Blitzkrieg attacks?,"To break through an opponent's lines of defense, dislocate the defenders, and defeat them in a decisive battle"
What was the traditional German tactic combined with aircraft and tank technologies during the interwar period?,Bewegungskrieg (maneuver warfare)
"When did the term ""blitzkrieg"" first appear in connection to quick or lightning warfare?",1935
"When was the term ""blitzkrieg"" being extensively used in Western media?",By 1940
What was one of the factors that contributed to the success of German maneuver operations during the campaigns of 1939-1941?,The Allies' general lack of preparedness
Was Blitzkrieg an official military term used by the Wehrmacht during World War II?,No
Did Hitler refer to the term Blitzkrieg as a valid concept or doctrine?,No
Who described the emergence of certain ideas as a response to operational challenges?,Kurt Student
What did Kurt Student describe these emerging ideas as?,"Ideas that ""naturally emerged from existing circumstances"""
What year did historian Karl-Heinz Frieser summarize blitzkrieg?,2005
When was the military technology used in combination with traditional German military principles to describe blitzkrieg?,During the interwar period
Who is mentioned in the context of thinking on mobile combined arms formations?,Heinz Guderian
"What can ""blitzkrieg"" be used as a synonym for according to Frieser?",Modern maneuver warfare
"What does ""blitzkrieg"" literally mean?","""Lightning war"" or ""lightning attack"""
What is a primary goal of blitzkrieg tactics?,Delivering a knockout blow to an enemy state
What was one method used by Germany to affect the morale of enemy forces during Blitzkrieg?,"The Jericho Trompete, a noise-making siren on the Junkers Ju 87 dive bomber."
When were the psychological devices largely removed from German military use?,After the Battle of France in 1940.
"Was the term ""blitzkrieg"" ever used in the title of a German military doctrine or handbook?",No
"What did the German High Command refer to the group of tactics as, according to historical records?",Bewegungskrieg (Maneuver Warfare)
In what year did the first article deal primarily with supplies of food and materiel in wartime?,1935
What was the term used in reference to German efforts during the First World War?,Blitzkrieg
What was described as an attractive idea for Germany in the second article (1938)?,A swift strategic knockout.
What made a massive strategic air attack potentially more viable than a land-based surprise attack?,The degree of surprise would have to be exceptionally high.
"Who published ""Germany and a Lightning War"" in 1938?",Fritz Sternberg
"When was the term ""Blitzkrieg"" first used?",In the 1920s.
"Where did Ferdinand Otto Miksche define the concept of ""Blitzkrieg"" in a book?","In his 1941 book ""Blitzkrieg""."
What was the word later applied to?,The bombing of Britain
"Where did the bombing occur, according to the text?",London
"When did the German popular press start using the term ""Blitzkrieg""?",Nine months after the Fall of France in 1940.
"How did Hitler refer to the term ""Blitzkrieg"" in a speech in November 1941?",He said it was a very silly word.
Who developed tactics to restore maneuver on the battlefield during World War I?,Willy Rohr
"What type of infantry was referred to as ""storm troops"" in the historical text?",Specialist light infantry
Who devised the infiltration tactics used in Operation Michael?,Colonel Georg Bruchmüller
How close did the German armies come to Paris during their advance in 1918?,Within 120 kilometres (75 mi)
Who criticised the German leadership for failing to understand technical advances during World War I?,James Corum
"What was the maximum number of men allowed in the Reichswehr after Germany's defeat, according to the Treaty of Versailles?","100,000"
What is the name of a 1921-1923 publication that contained standard procedures for combined-arms warfare?,Das Fug
What type of warfare dominated the Eastern Front during the war?,Maneuver warfare
Did the war on the Eastern Front result in trench warfare?,No
What was gained by the German leadership as a result of the war on the Eastern Front?,Unique experience unavailable to the Western Allies
Who argued for a focus on speed instead of encirclement?,Hans von Seeckt
What was the governing principle in Auftragstaktik?,"""the higher the authority, the more general the orders were"""
Who developed the German army into a mobile force?,Seeckt
What tradition did Seeckt believe in?,Prussian
What was the emphasis placed on in late 1918 by the British Army?,"Detailed planning, rigid control and adherence to orders."
"According to the Field Service Regulations published after 1918, what type of operations were necessary to create enough firepower for mobility on a battlefield?",Combined-arms operations.
What type of military operation did General Edmund Allenby use to attack the Ottoman front line?,Blitzkrieg-like operation
Which two Ottoman armies were kept off-balance and virtually encircled during the Battles of Sharon and Nablus (Battle of Megiddo)?,Two Ottoman armies in the Judean Hills
What was the estimated number of Ottoman prisoners captured by the British?,"At least 25,000 prisoners"
How many guns were captured by the British in their advance?,260 guns
Who advocated for concentration of armor and airplanes in France?,Colonel Charles de Gaulle
What was the title of Colonel Charles de Gaulle's book published in 1934?,Vers l'Armée de métier
Whose views did not endear themselves to the French high command?,His (referring to the person mentioned in the text)
Who studied this person's views with great interest?,Heinz Guderian
Who developed a concept of deep battle from the experience of the Polish–Soviet War?,Marshal Mikhail Tukhachevsky and other members of the Red Army.
In what year did General Alexei Brusilov use surprise and infiltration tactics during the Brusilov Offensive?,1916.
Who noted that deep battle contained two important differences from blitzkrieg?,H. P. Willmott
In what year did H. P. Willmott make these notes about deep battle and blitzkrieg?,2002
What was the purpose of the secret collaboration between the Reichswehr and the Red Army?,To evade the Treaty of Versailles occupational agent.
Where did war games and tests begin in 1926?,At Kazan and Lipetsk.
When was the Luftwaffe officially established?,February 1935
Who summarized combined-arms tactics in a book?,Guderian
What was the title of Guderian's 1950 book?,Panzer Leader
What year did the author become convinced that tanks working on their own or with infantry could never achieve decisive importance?,1929
What type of divisions was the author advocating for to include tanks in order for them to fight with full effect?,Armored divisions
What did Guderian insist on equipping in the German armored force?,Every tank.
"Which country had all tanks being ""radio-equipped"" at the start of World War II?",Germany.
Who influenced the performance of armored troops during the Polish campaign?,Guderian's ideas
Which two military leaders were initially skeptics about armored warfare but later won over by its performance?,von Rundstedt and Rommel
When did Rommel perfect his maneuver-warfare principles?,October-November 1917
Who disobeyed General Staff's orders and forged ahead during the Battle of France?,Rommel and Guderian
Who created the new archetype of Blitzkrieg?,Rommel
When did General Hermann Hoth submit an official report on Rommel's command style?,July 1940
What was the purpose of the Schwerpunktprinzip in the German Army?,To make decisions from tactics to strategy about priority.
How did each unit in the army decide on a Schwerpunkt?,Through schwerpunktbildung.
What was the goal of Schwerpunktbildung in German Army strategy?,To achieve superiority at the point of main effort.
What was Guderian's summary of German Army strategy in the 1930s?,"""Klotzen, nicht kleckern!"" (roughly ""splash, don't spill"")"
What were units comprising the Schwerpunkt supposed not to do?,Not become decisively engaged with enemy front line units.
Who used their motorized mobility during World War II?,German Panzer forces.
What was a key characteristic of directive control?,Fast
How were important decisions typically communicated in directive control?,Verbally or with brief written orders
What was the primary way that enemy losses were inflicted during an operation?,Primarily through the mass capture of prisoners and weapons.
How many Soviet prisoners were produced by huge encirclements in 1941 during Operation Barbarossa?,Nearly 3.5 million.
What type of air support did the German Luftwaffe provide?,Dive bomber and medium bomber.
How did the German Luftwaffe differ in terms of doctrine?,It had no constricting central doctrine.
What was the Luftwaffe's strength in terms of flexibility from 1939 to 1941?,Flexibility.
What percentage of the Luftwaffe was intended for close support of the army in 1939?,Less than 15 percent.
What factors affected the success of armored penetrations during a blitzkrieg?,Terrain and weather conditions.
What types of terrain made it difficult for armor to move quickly and effectively during a blitzkrieg?,"Hilly, wooded, marshy, or urban."
What was one way in which the disadvantages of terrain could be nullified?,If surprise was achieved over the enemy by an attack in areas that had been considered natural obstacles.
"Where did the main German offensive go through during the Battle of France, catching the French off guard?",The Ardennes.
What was the state of air parity between the Luftwaffe and Allies in May 1940?,Near parity
What was one advantage the Germans had due to their air superiority during this period?,The unencumbered movement of ground forces
How many British sorties were flown by the Allies daily?,160
What was the average number of Luftwaffe sorties flown daily compared to the Allies' 600 sorties?,"1,500"
"What date did Fliegerkorps VIII fly 1,000 sorties in support of the crossing of the Meuse?",May 13
"What percentage of attacking Allied aircraft were destroyed by German fighter aircraft, ground fire, and Luftwaffe flak batteries?",56
How many sorties were flown by the Allies over the battlefield area alone on D-Day?,"14,500"
Did the Luftwaffe's fighter presence over Normandy approach the numbers commanded by the Allies?,No
What were some of the shortages that severely hampered the German defenders?,"Food, fuel, and ammunition."
Why was Operation Wacht am Rhein planned to take place during poor weather?,To minimise interference by Allied aircraft.
What is vulnerable about Blitzkrieg?,It is vulnerable if the enemy can weather the shock of the attack and does not panic.
What happened to Kampfgruppe Peiper as a result of its failure to secure the breach in the Ardennes?,It was cut off at the van.
Who led the 4th Armoured Division during the Battle of France in 1940?,Major-General Charles de Gaulle
What was the tactic employed by elements of the 1st Army Tank Brigade that combined with probing attacks to become a major basis for responding to blitzkrieg attacks in the future?,Hedgehog tactic
In what year did Allied forces lack experience?,1940
What characterized later Allied operations?,Those strategies
"At what battle did the Red Army use a combination of defense in great depth, extensive minefields, and tenacious defense of breakthrough shoulders?",The Battle of Kursk.
What was the result of Operation Bagration for German forces?,Destruction.
What was the main problem with Germany's mobile operations later in World War II?,Overextending supply lines.
"How many tanks did some German ""panzer divisions"" have towards the end of World War II?",A few dozen.
What happened to Luftwaffe fighter aircraft as a result of Germany's shortage of fuel?,They could not fly.
Why did many Tiger tanks lost against the US Army have to be abandoned?,For lack of fuel.
When did German volunteers first use armor in live field-conditions?,1936–1939
What was the primary purpose of Panzer Battalion 88?,A training cadre for Spain's Nationalists
What was the target of the German aircraft during the 1937 bombing of Guernica?,Rail lines and bridges.
How many Ju 87s saw action in Spain during the 1937 bombing of Guernica?,Only three or four.
What was the name of the German military strategy during the September 1939 invasion of Poland?,Vernichtungsgedanke
How did German generals deploy tanks during the campaign?,To create or destroy close pockets of Polish forces
What type of warfare was most prevalent during the Wehrmacht's Polish campaign?,Conventional infantry and artillery warfare.
How did the Luftwaffe typically interact with the ground campaign during the Polish campaign?,Independent.
What was the primary intention behind the employment of mechanized units in the Polish Campaign?,To ease the advance and support infantry activities.
What was the ultimate aim of the German ground and air forces during the Polish campaign?,Physical destruction of enemy troops.
Who wrote that there is considerable justice in Matthew Cooper's assertion about panzer divisions?,John Ellis
"What type of German units shattered as many Polish units as any other branch of the Wehrmacht during the September campaign, according to Steven Zaloga?",Artillery
What was the name of the German operation that attacked France through the Ardennes?,Operation Yellow (Fall Gelb)
How many days did it take for the Germans to reach the Meuse and achieve a breakthrough at the Battle of Sedan?,Three
Where did Panzer Group Kleist reach the English Channel?,Abbeville
Which Allied forces were cut off by Panzer Group Kleist's advance?,"BEF, Belgian Army and some French divisions"
How many Allied troops escaped during Operation Dynamo?,"330,000"
What was the name of the German air force that failed to prevent the evacuation of Allied troops?,Luftwaffe
What was the name of the triple-pronged offensive launched by German forces?,Operation Red
Who organized an armored counter-attack that ultimately had to be retreated?,Colonel Charles de Gaulle
"Who said ""Thank God for the French Army""?",Winston Churchill
How long did the French forces engage in trench warfare during World War I?,Four years
Where did the Germans conduct a large drop to capture three bridges?,The Netherlands
What was the most renowned glider-landing conducted by the Germans before the arrival of the main force?,Fort Eben-Emael in Belgium
What was the goal of Operation Barbarossa?,To destroy the Russian forces deployed in the West and prevent their escape into Russia.
Where were the Red Army's destruction and mopping-up operations to take place after being destroyed west of the Dvina and Dnieper rivers?,About 500 kilometres (310 mi) east of the Soviet border.
When did the Luftwaffe achieve total air supremacy over all the battlefields?,Within the first week.
What was the role of the 2nd Panzer Group commanded by Guderian in late July?,It captured the watersheds of the Dvina and Dnieper rivers near Smolensk.
What was a strategic failure for Germany during World War II?,Failure to destroy the Red Army before winter 1941-1942.
Who defeated the German Army Group Center during the Battle of Moscow?,The Red Army.
In what year did Germany launch another offensive?,1942
Why were Germany's gains limited during this time period?,Because Hitler diverted forces and the Wehrmacht became overstretched.
When did the Wehrmacht conduct Operation Zitadelle against a salient at Kursk?,In July 1943.
Who supplied intelligence to the Stavka that revealed German intentions for Operation Zitadelle?,Front-line reconnaissance and Ultra intercepts.
Was Operation Citadel planned as a blitzkrieg operation?,Several historians assert that it was.
Did the German participants who wrote about the operation after the war mention blitzkrieg in their accounts?,Many of them did not.
When was blitzkrieg first defeated?,In summer 1944.
How many kilometers did the Red Army advance in Operation Bagration?,600 kilometers.
What type of strategies did Allied armies begin using?,Combined-arms formations and deep-penetration strategies
When did the Allies achieve significant artillery-based tactics on the Western Front?,After 1944's Operation Overlord
What was the outcome of the German counter-offensive attempt to use deep-penetration operations in Normandy?,The attempt hastened the Falaise Pocket and the destruction of German forces in Normandy.
Who defeated the Mortain counter-attack?,The American 12th Army Group.
What was the German offensive launched towards in December 1944?,The port of Antwerp.
Why did Allied air-power stop during the Battle of the Bulge?,Due to cloud cover.
"What was called ""Blitzkrieg"" in military context?",A Revolution in Military Affairs (RMA)
"Who wrote ""Doctrine and Training in the German Army 1919–1939"", a book that contributed to the popular view of Blitzkrieg?",Captain Robert O'Neill
"Did the German armed forces employ the term ""blitzkrieg"" in official documents?","Rarely, if ever."
Was the concept of a blitzkrieg Luftwaffe challenged by Williamson Murray?,Yes.
What is the topic discussed in the historical text?,A German blitzkrieg concept or doctrine
Who supports the thesis about a German blitzkrieg concept or doctrine?,Many historians
What was the outcome of the Schlieffen Plan in 1914?,Failure
Who had initially intended to avoid decisive battle concepts in a long war of exhaustion?,The Oberkommando der Wehrmacht (OKW)
What is Shimon Naveh's description of the concept of blitzkrieg?,"An ""ad hoc solution"" to operational dangers."
"Did Hitler and the Nazi regime intend a blitzkrieg war, according to Overy's opinion?",No.
"When was the word ""blitzkrieg"" coined?",September 1939
"Did the Wehrmacht use the term ""blitzkrieg"" in its field manuals?",No
Who wrote that surviving German economists and General Staff officers denied that Germany went to war with a blitzkrieg strategy?,Frieser
Who argues that point?,Robert M. Citino
Did the Germans use the term Blitzkrieg in a precise sense?,No
What was the old way of war that the Germans used with new technologies during the interwar period?,Bewegungskrieg
What was the myth that Blitzkrieg played on?,German technological superiority and industrial dominance
Why were successful Blitzkrieg operations only possible for a short period of time?,Without sufficient supply lines
When did the Blitzkrieg end?,At the Eastern Front once the German forces had given up Stalingrad.
Which armies were initially defeated by German armored Blitzkrieg forces early in the war?,"Polish, Dutch, Belgian and French Armies."
Who developed a theory of blitzkrieg economics?,Alan Milward
What was the purpose of Germany's blitzkrieg economy?,To allow the German people to enjoy high living standards in the event of hostilities
What was Hitler's view on preparing for war?,He believed in preparing for a long war along with surprise attack.
Why did the Germans focus on developing armament in depth rather than breadth?,Because they rejected the concept of organizing its economy to fight only a short war.
When did Hitler demobilize many troops from the army?,In 1939-1940.
Why did Hitler demobilize many troops from the army?,"Because he believed the war would be decided by production, not a quick ""Panzer operation""."
When did most of the armament projects ordered by Hitler in the 1930s expect to be completed?,1943-1945
What year was the rearmament program for the Luftwaffe expected to mature?,1942
By what percentage of German output did military production account for by 1939?,23 percent
"What percentage of investment capital went into the rubber, synthetic fuel, aircraft and shipbuilding industries between 1937 and 1939?",70 percent
What percentage of consumer goods were consumed in 1928?,71 percent
"Who called for the complete ""employment"" of living and fighting power of the national economy on September 9?",Göring
What was Adam Tooze's assessment of the German economy before the war?,It was being prepared for a long war.
When did the expansion plans for the war effort gain momentum in Germany?,In 1941.
What percentage of the German Army was 40 years old at the start of World War II?,45%
How many vehicles did the German Army have compared to the French Army?,"120,000 (compared to the French Army's 300,000)"
What percentage of the army was motorized in 1940?,Ten percent.
Approximately how many horses were there in the army in 1940?,.7 million.
What percentage of German divisions available in 1940 were combat ready?,Half
Which major army was considered the least mechanized in 1940?,The German Army
What was commonly assumed about the Luftwaffe after the bombing of Guernica in 1937?,That it had a doctrine of terror bombing.
What type of operations did the Luftwaffe leadership reject in favor of during the interwar period?,Battlefield support and interdiction operations.
What type of bombing was ruled out under international law?,Terror bombing
Were civilians to be targeted directly in the shutdown of industries?,No
"Who compiled a doctrine known as ""The Conduct of the Aerial War""?",General Walther Wever
What was the Luftwaffe's view on Giulio Douhet's theory of terror bombing?,"It was considered ""counter-productive""."
What was the main mission believed by most Luftwaffe leaders?,Strategic bombing.
"According to J. P. Harris, what did Luftwaffe leaders believe would happen in the next war if they carried out their strategic bombing mission?",They believed it would result in victory.
What was the primary focus of most lectures and military journals during this period?,Strategic uses of airpower.
Which aspect of air warfare did some authors emphasize to the exclusion of others in their writings?,The use of strategic airpower.
Why did the Luftwaffe have an air force consisting mainly of relatively short-range aircraft?,Because the German aircraft industry lacked the experience to build a long-range bomber fleet quickly.
"Why was there no clear distinction between ""tactical"" and ""strategic"" bombers in early stages of war for Germany?",Because Germany's position in the centre of Europe.
Who has been associated with the development of blitzkrieg?,John Frederick Charles Fuller and Captain Basil Henry Liddell Hart
What did Liddell Hart do to distort the facts about blitzkrieg after the war?,He imposed his own perceptions after the event by claiming that mobile tank warfare was a result of his influence.
Was blitzkrieg an official doctrine?,No
How long did it take for historians to unravel the myth of blitzkrieg?,40 years
What did Blitzkrieg consist of?,An avalanche of actions.
How was Blitzkrieg described in hindsight?,As an operational design.
Who imposed a fabricated version of blitzkrieg on Heinz Guderian?,Liddell Hart
What did Liddell Hart request Heinz Guderian to give him credit for?,Impressing him with his ideas of armored warfare
Who was questioned about a discrepancy between English and German editions of Guderian's memoirs in 1968?,Liddell Hart
What did Liddell Hart thank Guderian for in the additional paragraph?,what he said
What was Fuller's role during World War I?,He was a staff officer attached to the new tank corps.
"What did the German military do after the war, according to the text?",They undertook a thorough review in studying and rewriting of all of their Army doctrine and training manuals.
When did Liddell Hart's military service come to an end?,1916
What happened to the Experimental Mechanized Force formed in 1927?,It was disbanded in 1928.
"Who introduced rapid movement, concentrated power, and integrated military effort in European warfare?",Swedish King Gustavus Adolphus
"When did the so-called ""blitzkrieg campaigns"" take place?",From 1939 to around 1942
What was the operational thinking of the German army like at the outbreak of war?,It had not changed significantly since the First World War or since the late 19th century.
What was a key factor in Germany's initial operational and strategic success in World War II?,"The employment of mechanized divisions, most importantly Panzer divisions."
Who is widely regarded as being highly influential in developing Germany's military methods of warfare?,Heinz Guderian
What style of warfare was brought to the fore by Heinz Guderian's methods?,Blitzkrieg warfare
Who emerged as a strong proponent of mechanized forces in Germany?,Guderian
Who was the Chief of the General Staff during Guderian's work on armored forces?,Ludwig Beck
Who was the chief of the General Staff from 1935 to 1938?,Ludwig Beck
What was the primary tactical manual of the German Army during World War II?,Army Regulation 300 (Troop Leadership)
What was the title of Guderian's explanatory book written in 1937?,Achtung Panzer!
In what years did Guderian write a number of articles concerning military movement?,Between 1922 and 1928
Who argued that the tank would be the decisive weapon of the next war?,Guderian
"According to Guderian, what is necessary for a successful land attack?",Properly employed tanks
Who wrote about the difficulties of offensive operations during the First World War?,Guderian
What was believed to be achievable by attacking with tanks in Guderian's opinion?,A higher rate of movement than has been hitherto obtainable
What did Guderian require for tactical radios?,To be widely used to facilitate coordination and command.
Where was one installed in each tank?,In all tanks.
"Who wrote a book called ""The Tank War (Der Kampfwagenkrieg)"" in 1934?",Ludwig Ritter von Eimannsberger
"Which German theorist was influential to German thinking on the use of armored formations, but his work was not acknowledged in Guderian's writings?",Ernst Volckheim
What is a bank vault typically made of?,Reinforced concrete and steel.
Where were strongrooms historically built?,In the basements of banks.
What types of assets can be found in modern bank vaults?,"Many safe deposit boxes, teller cash drawers, and other valuable assets."
What was typically used to make older 19th and early 20th century vaults?,Steel-reinforced concrete.
How thick were the walls of older vaults?,At least 1 ft (0.3 m)
None,None
What is typically used to construct modern bank vaults?,Steel-reinforced modular concrete panels
How strong is a 3-inch thick panel of specialized concrete compared to an 18-inch panel of standard concrete?,Up to 10 times stronger
What was typically used for construction work and bank vaults in the middle of the 20th century?,Steel-reinforced concrete.
How strong is a modern modular concrete panel compared to an 18-inch (45.72-cm) thick regular formula concrete panel?,Up to 10 times stronger.
What is the name of the bank whose vaults survived the atomic blast with all contents intact?,Teikoku Bank
Where was an above ground Mosler vault tested to withstand an atomic blast in Operation Plumb Bob - Project 30.4?,Nevada National Security Site (formerly the Nevada Test Site)
What is added to the special reinforced concrete mix used for bank vaults?,Metal shavings or abrasive materials
How long does the Vault concrete take to cure?,6-12 hours
What is the purpose of the hole in the door mold?,The hole in the door mold is for the lock.
Why did round vault doors fall out of favor?,"Due to manufacturing complexities, maintenance issues (door sag due to weight), and cost."
What is a day gate used for?,Limited vault protection while the main door is open.
Where is the lock on a vault door usually mounted?,On the inside (behind) of the difficult-to-penetrate door.
Who rates vaults based on their resistance to mock break-in attempts?,"Underwriters Laboratories, Inc. (UL)"
What is the testing regime covered under in Europe for penetrative resistance to forcible attack?,Euronorm 1143-1:2012 (also known as BS EN 1143-1: 2012)
What was the rapid development in during the 1980s and 1990s?,Bank vault technology.
What is the thermal lance used to create in bank vaults?,A series of small holes that can eventually be linked to form a gap.
What was the purpose of the Sarajevo Tunnel during the Siege of Sarajevo?,Providing a vital smuggling link for city residents.
How many tunnels were used to smuggle people under the Berlin Wall between West Berlin and East Berlin?,More than 70.
When was a 700-meter smuggling tunnel with a narrow gauge railway revealed?,July 2012
What was the primary use of this smuggling tunnel?,Smuggling cigarettes
What was the purpose of the tunnel at Hayle in Cornwall?,Smuggling.
Who is believed to have assisted with the excavation of some tunnels?,Tin miners.
What was Beith known for being at one time?,A notorious haunt of smugglers
Where did a supposed tunnel allegedly run from in Beith?,The town centre down to Kilbirnie Loch
Where did the Canadian drug smugglers construct a tunnel?,"Between a greenhouse in Langley, British Columbia and the basement of a house in Lynden, Washington."
Why were authorities alerted to the construction work?,When a neighbor noticed the large-scale construction work being undertaken in the greenhouse.
When was the first pack of marijuana transported through the tunnel?,July 14
"As of September 30, 2015, how many illicit cross-border tunnels had been discovered in the United States since Fiscal Year 1990?",183
"What was found on January 25, 2006, by a joint US task force?",A tunnel on the US-Mexico border.
How much marijuana was found in the discovered tunnel?,"2 short tons (1,800 kg)."
When did US Immigrations and Customs Enforcement agents arrest a Mexican citizen linked to the tunnel?,January 30
Which drug syndicate or cartel is believed by authorities to be behind the building and operation of the tunnel?,Tijuana's Arellano-Felix drug syndicate
"What date did a 2,600-foot tunnel linking Tijuana to Otay Mesa, San Diego, California get discovered?","November 26, 2010"
How many tons of cannabis were found and confiscated between the two cities?,Over 40 short tons
Who completed an analysis of smuggling tunnels?,Lichtenwald and Perri
When was another underground drug tunnel discovered in Nogales?,"February 14, 2014"
"How long was the tunnel discovered on February 14, 2014?",481 feet
